machine_id,task,interval_days,last_performed,next_due,overdue_days,assigned_to
COMPRESSOR-05,vibration analysis,60,2026-06-18,2026-08-17,15,TC-010
PUMP-05,bearing lubrication,7,2026-06-20,2026-06-27,66,TC-003
COMPRESSOR-04,oil change,90,2026-06-04,2026-09-02,0,TC-007
PUMP-01,thermocouple calibration,30,2026-06-07,2026-07-07,56,TC-013
TURBINE-01,bearing lubrication,60,2026-08-11,2026-10-10,0,TC-012
PUMP-07,valve overhaul,7,2026-07-25,2026-08-01,31,TC-008
TURBINE-06,intercooler cleaning,14,2026-06-25,2026-07-09,54,TC-006
PUMP-03,coupling alignment,90,2026-06-23,2026-09-21,0,TC-002
PUMP-02,cooling system flush,7,2026-05-07,2026-05-14,110,TC-004
TURBINE-04,oil change,7,2026-06-09,2026-06-16,77,TC-001
TURBINE-01,seal inspection,30,2026-08-25,2026-09-24,0,TC-015
PUMP-10,bearing lubrication,14,2026-08-25,2026-09-08,0,TC-014
COMPRESSOR-04,coupling alignment,14,2026-08-12,2026-08-26,6,TC-010
COMPRESSOR-06,coupling alignment,90,2026-08-11,2026-11-09,0,TC-004
PUMP-06,seal inspection,7,2026-07-11,2026-07-18,45,TC-004
TURBINE-04,seal inspection,14,2026-06-16,2026-06-30,63,TC-014
TURBINE-05,oil change,90,2026-05-26,2026-08-24,8,TC-015
PUMP-02,seal inspection,30,2026-08-10,2026-09-09,0,TC-013
TURBINE-06,bearing lubrication,180,2026-07-31,2027-01-27,0,TC-013
COMPRESSOR-06,seal inspection,30,2026-06-25,2026-07-25,38,TC-015
COMPRESSOR-03,thermocouple calibration,30,2026-08-22,2026-09-21,0,TC-001
COMPRESSOR-01,bearing lubrication,7,2026-08-18,2026-08-25,7,TC-014
TURBINE-05,impeller inspection,30,2026-05-06,2026-06-05,88,TC-002
COMPRESSOR-02,thermocouple calibration,180,2026-06-12,2026-12-09,0,TC-003
TURBINE-05,intercooler cleaning,14,2026-05-05,2026-05-19,105,TC-013
TURBINE-06,intercooler cleaning,60,2026-06-26,2026-08-25,7,TC-011
COMPRESSOR-02,intercooler cleaning,30,2026-06-15,2026-07-15,37,TC-007
COMPRESSOR-05,bearing lubrication,90,2026-08-22,2026-11-20,0,TC-013
PUMP-07,valve overhaul,90,2026-07-13,2026-10-11,0,TC-012
TURBINE-01,coupling alignment,7,2026-07-07,2026-07-14,49,TC-012
